統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
24996250,興立電能源股份有限公司,新北市八里區厦竹圍22號5樓,張家祝,20000000,115/03/24,,,CB01990 其他機械製造業；CC01010 發電﹑輸電﹑配電機械製造業；CC01090 電池製造業；CD01010 船舶及其零件製造業；CD01030 汽車及其零件製造業；CD01040 機車及其零件製造業；CD01050 自行車及其零件製造業；CD01990 其他運輸工具及其零件製造業；F113110 電池批發業；F113990 其他機械器具批發業,新北市,設立,11503
60311453,聚鑫雷射工業股份有限公司,新北市土城區南天母路35之3號3樓,蕭明政,6000000,115/03/12,,,F106010 五金批發業；F106030 模具批發業；F113010 機械批發業；F113030 精密儀器批發業；F113050 電腦及事務性機器設備批發業；F118010 資訊軟體批發業；F119010 電子材料批發業；F206010 五金零售業；F206030 模具零售業；F213030 電腦及事務性機器設備零售業,新北市,設立,11503
60311469,旭蒔企管顧問有限公司,新北市三重區中興北街42巷4號,林桂鎂,100000,115/03/12,,,I199990 其他顧問服務業；I103060 管理顧問業；I101090 食品顧問業；I501010 產品設計業；I599990 其他設計業；I102010 一般投資顧問業；H201010 一般投資業；H202010 創業投資業；J202010 產業育成業；IZ15010 市場研究及民意調查業,新北市,設立,11503
60311475,熠芯國際音樂有限公司,新北市林口區文化三路1段191巷18號10樓,陳志均,1000000,115/03/12,,,F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；J602010 演藝活動業；J604010 聲音錄製及音樂發行業；F107020 染料、顏料批發業；F107200 化學原料批發業；F207020 染料、顏料零售業；F207200 化學原料零售業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311480,準備好現象有限公司,新北市淡水區沙崙路1段126巷125號16樓,陳冠宇,1000000,115/03/12,,,I501010 產品設計業；I599990 其他設計業；JB01010 會議及展覽服務業；I401010 一般廣告服務業；I301060 網路廣告平臺業；J503040 廣播電視廣告業；J404010 動畫影片製作業；I105010 藝術品諮詢顧問業；J404040 電影錄音業；F118010 資訊軟體批發業,新北市,設立,11503
60311496,洪澤空間有限公司,新北市板橋區中山路1段206巷56號,蔡鎧澤,950000,115/03/12,,,F111090 建材批發業；F211010 建材零售業；F106010 五金批發業；F206010 五金零售業；F105050 家具、寢具、廚房器具、裝設品批發業；F205040 家具、寢具、廚房器具、裝設品零售業；F102030 菸酒批發業；F203020 菸酒零售業；F102170 食品什貨批發業；F203010 食品什貨、飲料零售業,新北市,設立,11503
60311502,岑昌科技實業有限公司,新北市汐止區新興路129號11樓,陳家慶,9000000,115/03/12,,,E502010 燃料導管安裝工程業；E599010 配管工程業；E601020 電器安裝業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業；E603080 交通號誌安裝工程業；E603090 照明設備安裝工程業；E603100 電焊工程業；E603110 冷作工程業,新北市,設立,11503
60311518,德渥實業有限公司,新北市汐止區新台五路1段93號21樓之6,李東橏,500000,115/03/12,,,CA01100 鋁材軋延、伸線、擠型業；CA02990 其他金屬製品製造業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；F111090 建材批發業；F211010 建材零售業；E801070 廚具、衛浴設備安裝工程業；EZ99990 其他工程業,新北市,設立,11503
60311524,唐奇科研儀器有限公司,新北市中和區中正路277之4號18樓,黃鈺襄,300000,115/03/12,,,CE01010 一般儀器製造業；F113030 精密儀器批發業；F119010 電子材料批發業；E603100 電焊工程業；E604010 機械安裝業；F113020 電器批發業；F113060 度量衡器批發業；F213040 精密儀器零售業；F219010 電子材料零售業；F401010 國際貿易業,新北市,設立,11503
60311539,嘉晴事業有限公司,新北市板橋區忠孝路154巷36號,高若瑄,500000,115/03/12,,,F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F106020 日常用品批發業；F209060 文教、樂器、育樂用品零售業；F399990 其他綜合零售業；J601010 藝文服務業；F109070 文教、樂器、育樂用品批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F206020 日常用品零售業；F399040 無店面零售業；F205040 家具、寢具、廚房器具、裝設品零售業,新北市,設立,11503
60311545,鑫穩實業有限公司,新北市新莊區新莊路680號,黃振榮,500000,115/03/12,,,IZ12010 人力派遣業；J101010 建築物清潔服務業；J101030 廢棄物清除業；J101040 廢棄物處理業；J101090 廢棄物清理業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311550,鈺祥電氣技術顧問股份有限公司,新北市中和區景平路268號13樓之1,江鈺堂,5000000,115/03/12,,,F106010 五金批發業；F113070 電信器材批發業；F213060 電信器材零售業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F113020 電器批發業；F113030 精密儀器批發業；F113050 電腦及事務性機器設備批發業；F113060 度量衡器批發業；F114030 汽、機車零件配備批發業；F119010 電子材料批發業,新北市,設立,11503
60311566,蝴蝶蝴蝶哪裡跑有限公司,新北市新店區三民路117巷5弄15號4樓,王登鈺,500000,115/03/13,,,I401010 一般廣告服務業；J304010 圖書出版業；J305010 有聲出版業；J399990 其他出版業；J601010 藝文服務業；J401010 電影片製作業；J402010 電影片發行業；J404010 動畫影片製作業；J404040 電影錄音業；J404050 電影特效製作業,新北市,設立,11503
60311572,富馭國際有限公司,新北市三峽區學成路91號,林佳正,200000,115/03/13,,,JA02020 機車修理業；F214020 機車零售業；F214030 汽、機車零件配備零售業；F401010 國際貿易業；J101990 其他環境衛生及污染防治服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311587,森揚供應鏈有限公司,新北市新莊區華興街10號3樓,陳琬婷,300000,115/03/13,,,IZ06010 理貨包裝業；IZ12010 人力派遣業；G801010 倉儲業；I301020 資料處理服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311593,穩盛機電有限公司,新北市三重區永福街178號5樓,吳柏翰,500000,115/03/12,,,E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業；E603090 照明設備安裝工程業；E603130 燃氣熱水器承裝業；E599010 配管工程業；E801070 廚具、衛浴設備安裝工程業；F106010 五金批發業,新北市,設立,11503
60311600,天綬國際股份有限公司,新北市新店區竹林路61巷9號5樓,潘志煌,1000000,115/03/12,,,A101020 農作物栽培業；A101030 特用作物栽培業；A101050 花卉栽培業；A102080 園藝服務業；C103050 罐頭、冷凍、脫水及醃漬食品製造業；C104020 烘焙炊蒸食品製造業；E801010 室內裝潢業；F102040 飲料批發業；F102170 食品什貨批發業；F106020 日常用品批發業,新北市,設立,11503
60311616,明璟環保有限公司,新北市板橋區館前東路156巷26號,林禹助,5000000,115/03/12,,,J101010 建築物清潔服務業；J101020 病媒防治業；J101030 廢棄物清除業；J101040 廢棄物處理業；J101060 廢（污）水處理業；J101080 資源回收業；J101090 廢棄物清理業；J101990 其他環境衛生及污染防治服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311622,芬洛財務商業有限公司,新北市汐止區忠三街120巷67號,李佩文,500000,115/03/13,,,I103060 管理顧問業；I199990 其他顧問服務業；JZ99990 未分類其他服務業,新北市,設立,11503
60311637,鑽堡堡投資有限公司,新北市永和區永貞路39巷11號(1樓),許淑卿,1000000,115/03/13,,,H201010 一般投資業,新北市,設立,11503
60311643,閎榕有限公司,新北市新莊區中正路56巷12弄23號,歐金好AU KIM HAO,6600000,115/03/13,,,F203010 食品什貨、飲料零售業；F501060 餐館業；F501030 飲料店業；F501990 其他餐飲業；F399990 其他綜合零售業,新北市,設立,11503
60311658,順程興業有限公司,新北市板橋區忠孝路忠義巷3弄19號,李榮倫,100000,115/03/13,,,E601010 電器承裝業；E601020 電器安裝業；E603040 消防安全設備安裝工程業；E801010 室內裝潢業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311664,喜焄有限公司,新北市新店區安興路127之13號8樓,簡子謙,2000000,115/03/13,,,JZ99030 攝影業；I199990 其他顧問服務業；JE01010 租賃業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106020 日常用品批發業；F106050 陶瓷玻璃器皿批發業；F108040 化粧品批發業；F109070 文教、樂器、育樂用品批發業；F115020 礦石批發業,新北市,設立,11503
60311670,金遠國際有限公司,新北市永和區永和路1段228號3樓之2,劉家豪,100000,115/03/13,,,F101040 家畜家禽批發業；F101050 水產品批發業；F101130 蔬果批發業；F101990 其他農、畜、水產品批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F102030 菸酒批發業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311685,潤木之源生醫股份有限公司,新北市中和區景新街338號12樓,邱雯郡,100000,115/03/13,,,F208040 化粧品零售業；F208050 乙類成藥零售業；F207030 清潔用品零售業；F203010 食品什貨、飲料零售業；F203020 菸酒零售業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F206020 日常用品零售業；F221010 食品添加物零售業；F207200 化學原料零售業；F399040 無店面零售業,新北市,設立,11503
60311691,今冠有限公司,新北市土城區裕生路21巷6弄17號4樓,金國俊,5000000,115/03/13,,,E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；F106010 五金批發業；F106040 水器材料批發業；F113010 機械批發業；F113020 電器批發業；F401010 國際貿易業；JA02010 電器及電子產品修理業；F213010 電器零售業,新北市,設立,11503
60311708,創域商業開發有限公司,新北市板橋區莒光路165巷10號,張玉媛,1000000,115/03/13,,,F118010 資訊軟體批發業；F218010 資訊軟體零售業；F399040 無店面零售業；F401010 國際貿易業；I103060 管理顧問業；I301010 資訊軟體服務業；I401010 一般廣告服務業；I501010 產品設計業；J399010 軟體出版業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311714,茂博有限公司,新北市板橋區三民路2段33號14樓,張祐瀚,100000,115/03/13,,,F108040 化粧品批發業；F107030 清潔用品批發業；F106020 日常用品批發業；F102170 食品什貨批發業；F102040 飲料批發業；I102010 一般投資顧問業；I103060 管理顧問業；I199990 其他顧問服務業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311720,藝成不動產有限公司,新北市樹林區佳園路1段72巷8號,戴藝芬,1000000,115/03/13,,,H703090 不動產買賣業；H703100 不動產租賃業；H704031 不動產仲介經紀業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311735,曜承科技股份有限公司,新北市淡水區民權路177巷49號2樓,陳志煌,3000000,115/03/13,,,F113020 電器批發業；F113030 精密儀器批發業；JA02990 其他修理業；JE01010 租賃業；E601020 電器安裝業；F213080 機械器具零售業；F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106010 五金批發業,新北市,設立,11503
60311741,易興機電工程有限公司,新北市淡水區水源街2段177巷104號6樓,蘇韋銘,1000000,115/03/13,,,E601020 電器安裝業；E603040 消防安全設備安裝工程業；E801070 廚具、衛浴設備安裝工程業；F106040 水器材料批發業；F111090 建材批發業；F113020 電器批發業；F117010 消防安全設備批發業；F206040 水器材料零售業；F211010 建材零售業；F213010 電器零售業,新北市,設立,11503
60311756,嘉呈儀器有限公司,新北市樹林區中山路1段186號4樓,高哲淮,600000,115/03/13,,,E801010 室內裝潢業；F102170 食品什貨批發業；F108031 醫療器材批發業；F108040 化粧品批發業；F113030 精密儀器批發業；F208031 醫療器材零售業；F208040 化粧品零售業；F211010 建材零售業；F213040 精密儀器零售業；F401010 國際貿易業,新北市,設立,11503
60311778,富懋投資股份有限公司,新北市新店區中正路399巷26號,李俊杰,1100000,115/03/13,,,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,設立,11503
60311783,娜薇股份有限公司,新北市淡水區大信街24巷6號,莊婀娜,100000,115/03/13,,,F203010 食品什貨、飲料零售業；F206020 日常用品零售業；F207030 清潔用品零售業；F207990 其他化學製品零售業；F208040 化粧品零售業；F213010 電器零售業；F213040 精密儀器零售業；F213080 機械器具零售業；F219010 電子材料零售業；F399040 無店面零售業,新北市,設立,11503
60311799,萃本堂生技有限公司,新北市永和區中正路417號8樓,李采媗,100000,115/03/13,,,F102020 食用油脂批發業；F102030 菸酒批發業；F102040 飲料批發業；F102050 茶葉批發業；F102170 食品什貨批發業；F106010 五金批發業；F106020 日常用品批發業；F106040 水器材料批發業；F106050 陶瓷玻璃器皿批發業；F107010 漆料、塗料批發業,新北市,設立,11503
